index,Duration,Total stops,Price,Average Price Per Airlines,Source_NRT,Source_TPE,Destination_NRT,Destination_TPE
1163,200,0.0,433.0,505.3943396226415,0,1,1,0
1174,200,0.0,152.0,200.2774193548387,0,1,1,0
1176,205,0.0,152.0,213.1283783783784,0,1,1,0
1177,205,0.0,167.0,211.75057736720555,0,1,1,0
1178,205,0.0,183.0,211.75057736720555,0,1,1,0
1179,205,0.0,235.0,226.32091690544414,0,1,1,0
1180,205,0.0,253.0,226.32091690544414,0,1,1,0
1182,200,0.0,354.0,408.04664179104475,0,1,1,0
1183,195,0.0,347.0,395.2901069518717,0,1,1,0
1184,195,0.0,356.0,386.3411214953271,0,1,1,0
1185,200,0.0,377.0,425.8984375,0,1,1,0
1187,205,0.0,357.0,395.2901069518717,0,1,1,0
1188,200,0.0,424.0,505.3943396226415,0,1,1,0
1190,200,0.0,176.0,200.2774193548387,0,1,1,0
1191,205,0.0,179.0,213.1283783783784,0,1,1,0
1193,205,0.0,235.0,226.32091690544414,0,1,1,0
1194,195,0.0,351.0,395.2901069518717,0,1,1,0
1196,200,0.0,354.0,408.04664179104475,0,1,1,0
1197,205,0.0,351.0,395.2901069518717,0,1,1,0
1198,205,0.0,187.0,211.75057736720555,0,1,1,0
1199,200,0.0,390.0,425.8984375,0,1,1,0
1200,205,0.0,394.0,408.04664179104475,0,1,1,0
1202,200,0.0,423.0,505.3943396226415,0,1,1,0
1203,345,1.0,349.0,371.85,0,1,1,0
1204,375,1.0,349.0,371.85,0,1,1,0
1205,380,1.0,353.0,361.3519553072626,0,1,1,0
1206,445,1.0,340.0,340.0,0,1,1,0
1207,205,0.0,157.0,213.1283783783784,0,1,1,0
1209,200,0.0,183.0,200.2774193548387,0,1,1,0
1210,205,0.0,183.0,211.75057736720555,0,1,1,0
1211,195,0.0,289.0,395.2901069518717,0,1,1,0
1212,205,0.0,253.0,226.32091690544414,0,1,1,0
1213,205,0.0,257.0,211.75057736720555,0,1,1,0
1214,205,0.0,281.0,226.32091690544414,0,1,1,0
1217,200,0.0,354.0,408.04664179104475,0,1,1,0
1218,195,0.0,349.0,395.2901069518717,0,1,1,0
1221,200,0.0,372.0,425.8984375,0,1,1,0
1223,205,0.0,208.0,211.75057736720555,0,1,1,0
